,Product,Category,Brand,Color,Base_Price,Total_availability,Total_Volume
40,آل این وان ایسوس مدل E3402WBAT i7 1255U ظرفیت 512 گیگابایت و رم 16 گیگابایت 24 اینچ-مشکی,کامپیوتر همه کاره (all in one),ایسوس,مشکی,64999000.0,0,0
41,آل این وان ایسوس مدل E3402WBAT-B i3 1215U ظرفیت 512 گیگابایت و رم 8 گیگابایت 24 اینچ-مشکی,کامپیوتر همه کاره (all in one),ایسوس,مشکی,0.0,0,0
42,آل این وان ایسوس مدل M3700WYAK-WA008X R7 5825U ظرفیت 512 گیگابایت و رم 8 گیگابایت 27 اینچ-سفید,کامپیوتر همه کاره (all in one),ایسوس,سفید,51000000.0,0,0
43,آل این وان ایسوس مدل V222FAK-BA117M i5 10210U ظرفیت 256 گیگابایت و رم 16 گیگابایت 22 اینچ-مشکی,کامپیوتر همه کاره (all in one),ایسوس,مشکی,42500000.0,0,0
44,آل این وان ایسوس مدل V241EPK-BA i5 1135G7 ظرفیت 512 گیگابایت و رم 8  گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),ایسوس,مشکی,47500000.0,0,1
45,آل این وان ایسوس مدل V241EPK-C i3 1115G4 ظرفیت 512 گیگابایت و رم 8 گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),ایسوس,مشکی,43210000.0,0,0
46,آل این وان ایسوس مدل V241EPT-A i7 1165G7 ظرفیت 1 ترابایت HDD و 512 گیگابایتSSD و رم 16 گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),ایسوس,مشکی,72750000.0,0,0
47,آل این وان لنوو مدل IdeaCentre A340-A i3 10110U ظرفیت 256 گیگابایت و رم 8 گیگابایت 24 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,27500000.0,0,0
48,آل این وان لنوو مدل IdeaCentre AIO 3-P i3 1115G4 ظرفیت 256 گیگابایت و رم 4 گیگابایت 21.5 اینچ-سفید,کامپیوتر همه کاره (all in one),لنوو,سفید,34900000.0,0,0
49,آل این وان لنوو مدل IdeaCentre AIO 3-Q i7 1260P  ظرفیت 512 گیگابایت و رم 8 گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,80620000.0,0,0
50,آل این وان لنوو مدل IdeaCentre AIO 3-QA i7 1260P ظرفیت 512 گیگابایت و رم 8 گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,76451235.0,0,0
51,آل این وان لنوو مدل IdeaCentre AIO 3-R i5 1240P ظرفیت 512 گیگابایت و رم 8 گیگابایت 23.8 اینچ-سفید,کامپیوتر همه کاره (all in one),لنوو,سفید,66782625.0,0,0
52,آل این وان لنوو مدل IdeaCentre AIO 3-R i5 1240P ظرفیت 512 گیگابایت و رم 8 گیگابایت 23.8 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,66782625.0,0,0
53,آل این وان لنوو مدل IdeaCentre AIO 3-T i5 1155G7 ظرفیت 1 ترابایت و رم 4 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,44298240.0,0,0
54,آل این وان لنوو مدل IdeaCentre AIO 3-X i7 13620H ظرفیت 512 گیگابایت  و رم 16 گیگابایت 27 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,85020000.0,0,0
55,آل این وان لنوو مدل IdeaCentre AIO 3-Y i5 12450H ظرفیت 512 گیگابایت و رم 8 گیگابایت 27 اینچ-سفید,کامپیوتر همه کاره (all in one),لنوو,سفید,56530000.0,0,0
56,آل این وان لنوو مدل IdeaCentre AIO 5-C i7 12700H ظرفیت 512 گیگابایت و رم 16 گیگابایت 23.8 اینچ-خاکستری,کامپیوتر همه کاره (all in one),لنوو,خاکستری,106203300.0,0,0
57,آل این وان لنوو مدل V30A-22-C i3 1115G4 ظرفیت 1ترابایت و رم 4 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,28300000.0,0,1
58,آل این وان لنوو مدل V30A-B   i5 1035G1 ظرفیت 1 ترابایت و رم 4 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,33144825.0,0,0
59,آل این وان لنوو مدل V30A-BA   i5 1035G1 ظرفیت 1 ترابایتHDD و 128 گیگابایت SSD و رم 8 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,34956600.0,0,0
60,آل این وان لنوو مدل V30A-BB   i5 1035G1 ظرفیت 1 ترابایتHDD و 256 گیگابایت SSD و رم 8 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,35063175.0,0,0
61,آل این وان لنوو مدل V30A-BC   i5 1035G1 ظرفیت 1 ترابایتHDD و 128 گیگابایت SSD و رم 12 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,,0,0
62,آل این وان لنوو مدل V30A-BD   i5 1035G1 ظرفیت 1 ترابایتHDD و 256 گیگابایت SSD و رم 16 گیگابایت 21.5 اینچ-مشکی,کامپیوتر همه کاره (all in one),لنوو,مشکی,36235500.0,0,0
63,آل این وان مایا مدل MA24 D12-A i7 12700 ظرفیت 512 گیگابایت و رم 16 گیگابایت 24 اینچ-مشکی,کامپیوتر همه کاره (all in one),مایا,مشکی,43330000.0,0,0
64,آل این وان مایا مدل MA24P B12 i5 12400 ظرفیت 512 گیگابایت و رم 8 گیگابایت 24 اینچ-مشکی,کامپیوتر همه کاره (all in one),مایا,مشکی,28000000.0,0,1
65,آنتن رومیزی سومو مدل DVB-T3012-مشکی,سایر لوازم جانبی صوتی و تصویری,سومو,مشکی,180000.0,0,0
66,آنتن رومیزی سومو مدل DVB-T3013-مشکی,سایر لوازم جانبی صوتی و تصویری,سومو,مشکی,190000.0,0,0
67,آنتن رومیزی سومو مدل DVB-T3014-مشکی,سایر لوازم جانبی صوتی و تصویری,سومو,مشکی,190000.0,0,0
68,آنتن رومیزی سومو مدل DVB-T3015-مشکی,سایر لوازم جانبی صوتی و تصویری,سومو,مشکی,250000.0,0,0
69,آون توستر تولیپس مدل OT-A3807CD-نقره ای,لوازم خانگی و آشپزخانه,تولیپس,نقره ای,4900000.0,1,0
70,آون توستر تولیپس مدل OT-A4808CD-مشکی,لوازم خانگی و آشپزخانه,تولیپس,مشکی,7470000.0,1,0
71,اپیلاتور پاناسونیک مدل ES-EU10-قرمز,اصلاح بدن بانوان,پاناسونیک,قرمز,830000.0,0,0
72,اپیلاتور پاناسونیک مدل ES-WD42-صورتی,اصلاح بدن بانوان,پاناسونیک,صورتی,1930000.0,0,0
73,اتو بخار بیم مدل SI3901-نقره ای,اتو,ناشناخته,نقره ای,1300000.0,0,0
74,اتو بخار بیم مدل SI3902-بنفش,اتو,ناشناخته,بنفش,1160000.0,0,0
75,اتو بخار بیم مدل SI3904-سفید,اتو,ناشناخته,سفید,1489000.0,0,0
76,اتو بخار بیم مدل SI3905-بنفش,اتو,ناشناخته,بنفش,1150000.0,0,0
77,اتو بخار بیم مدل SI3906-خاکستری,اتو,ناشناخته,خاکستری,1395000.0,0,0
78,اتو بخار پاناسونیک مدل Steam Iron NI-JW670C-خاکستری,اتو,ناشناخته,خاکستری,30000000.0,0,0
79,اتو بخار شیائومی مدل Zajia Garment Steamer GT-306LW-سفید,لوازم خانگی و آشپزخانه,شیائومی,سفید,2990000.0,0,0
80,اتو مو براون مدل ST-310-مشکی,اتو و حالت دهنده مو,برون,مشکی,1280000.0,0,0
81,اتو مو حرفه‌ای رزتی مدل 5130-مشکی,اتو و حالت دهنده مو,رزتی,مشکی,750000.0,0,0
82,اتو مو رمینگتون S5525-مشکی,اتو و حالت دهنده مو,رمینگتون,مشکی,1350000.0,0,0
83,اتو مو رمینگتون مدل S8540-مشکی,اتو و حالت دهنده مو,رمینگتون,مشکی,1790000.0,0,0
84,اتو مو رمینگتون مدل S9100-سفید,اتو و حالت دهنده مو,رمینگتون,سفید,2750000.0,0,0
85,اتو مو موزر مدل Ceraline 4466-0051-مشکی,اتو و حالت دهنده مو,موزر,مشکی,930000.0,0,0
86,اتوبخار بوش مدل TDI903231H-بنفش,اتو,ناشناخته,بنفش,3400000.0,0,0
